url,address,price,State of the property,Availability,Number of bedrooms,postal_code,city,Surface bedroom 1,Livable surface,Furnished,Kitchen equipment,Kitchen type,Number of showers,Number of toilets,Type of heating,Type of glazing,Entry phone,Elevator,Access for disabled,Floor of appartment,Number of facades,Number of floors,Garden,Terrace,Surface terrace,Swimming pool,Specific primary energy consumption,Validity date EPC/PEB,CO2 emission,Certification - Electrical installation,Flooding Area type,Demarcated flooding area
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/rbs36205,Marktstraat 15,462500,New,,3,1930,zaventem,,118 m²,No,Super equipped,,,,Electricity,,,Yes,,1,4,4,No,Yes,15 m²,,,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/4100/seraing/vbc64938,Rue Renaud Strivay 129 1,65000,To renovate,On contract,2,4100,seraing,15 m²,70 m²,No,Fully equipped,Western kitchen,1,1,Fuel oil,Double glass,,No,No,0,3,,Yes,Yes,,No,501 kWh/m²/year,08/11/2023,,No certificate,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/rbn99790,Steenokkerzeelstraat 8,345000,New,,2,1930,zaventem,,106 m²,No,,,,1,,,,Yes,,,2,,Yes,Yes,6 m²,,30 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/rbt09439,J. B. Devlemincklaan 6 013,299000,Normal,,2,1930,zaventem,,98 m²,,,,,,Gas,Double glass,Yes,Yes,No,1,,4,Yes,Yes,,,134 kWh/m²/year,,,No certificate,no flooding area,(information not available)
https://immovlan.be/en/detail/studio/for-sale/1932/woluwe-saint-etienne/vbc40662,Avenue Hippocrate 8 051,200000,,On contract,,1932,woluwe-saint-etienne,,53 m²,Yes,Super equipped,,,1,Electricity,,,Yes,,5,,12,No,Yes,8 m²,,186 kWh/m²/year,08/09/2033,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/4100/seraing/vbc57452,Rue Haute,218600,New,Immediately,2,4100,seraing,,74 m²,No,,,,,,,,,,2,3,,,Yes,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/4100/seraing/vbc79682,rue de l'Echelle 271,159000,Normal,,2,4100,seraing,,61 m²,No,Super equipped,,,1,Gas,,,No,,0,3,1,No,Yes,3 m²,,267 kWh/m²/year,13/10/2031,54,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/duplex/for-sale/4100/seraing/vbc71689,Rue de la Province 65,189000,Fully renovated,On contract,2,4100,seraing,15 m²,80 m²,No,Super equipped,,1,1,Gas,Double glass,,No,No,1,2,2,Yes,Yes,15 m²,No,123 kWh/m²/year,05/05/2035,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/4100/boncelles/vbc67558,4100 Boncelles,140000,To be renovated,Negotiable,0,4100,boncelles,,55 m²,,Not equipped,,,,Gas,Double glass,Yes,Yes,,5,2,,,,,,,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/4100/seraing/vbc25920,Rue Ferrer 45,189000,Excellent,,2,4100,seraing,16 m²,100 m²,No,Super equipped,,1,1,Gas,Double glass,,No,No,0,2,3,Yes,Yes,40 m²,No,184 kWh/m²/year,08/11/2034,34,"yes, certificate in accordance",no flooding area,(information not available)
